Company,Ticker,Date,Segement,Call,Price,Next_Day,Next_Day_Price,NextDay_Change,1Week_Date,1Week_Price,1Week_Change,1Month_Date,1Month_Price,1month_Change,3Month_Date,3Month_Price,3month_Change,NextDay_Volume_Change,Annual_STD
Exxon Mobil (XOM),XOM,4/18/2016,Discussed Stock,Positive Mention ,85.78,4/19/2016,86.20999908,0.501281283,4/25/2016,87.33000183,1.806950141,5/16/2016,89.56999969,4.418278963,7/13/2016,94.87999725,10.60853026,7.868937854,0.23501681
Walmart (WMT),WMT,4/18/2016,Discussed Stock,Positive Mention ,69.86,4/19/2016,69.76999664,-0.128833892,4/25/2016,69.47000122,-0.558257629,5/16/2016,66.01999664,-5.496712506,7/13/2016,73.62000275,5.382196889,24.07059967,0.266117726
Verizon (VZ),VZ,4/18/2016,Discussed Stock,Buy Recommendations ,51.73,4/19/2016,52.08000183,0.676593526,4/25/2016,50.75999832,-1.875124064,5/16/2016,51.22999954,-0.966558008,7/13/2016,56,8.254397835,-17.08031461,0.253520106
United Technologies (UTX),UTX,4/18/2016,Discussed Stock,Positive Mention ,105.13,4/19/2016,105,-0.123656425,4/25/2016,105.1999969,0.066581326,5/16/2016,101.8199997,-3.148483121,7/13/2016,105.0899963,-0.038051614,1.063682468,0.269509217
UnitedHealth Group (UNH),UNH,4/18/2016,Discussed Stock,Positive Mention ,127.81,4/19/2016,130.5,2.104686644,4/25/2016,133.7799988,4.670995055,5/16/2016,130.6399994,2.214223762,7/13/2016,141.4799957,10.69556038,37.46905198,0.387018054
Revance Therapeutics (RVNC),RVNC,4/18/2016,Lightning Round ,Buy Recommendations ,19.69,4/19/2016,19.19000053,-2.539357369,4/25/2016,20.17000008,2.437786065,5/16/2016,17.54999924,-10.86846502,7/13/2016,13.65999985,-30.62468335,-39.3413384,0.648614892
Pepsico (PEP),PEP,4/18/2016,Discussed Stock,Positive Mention ,103.72,4/19/2016,104.3199997,0.57848023,4/25/2016,102.8000031,-0.887000529,5/16/2016,104.1299973,0.395292377,7/13/2016,109.9100037,5.967994275,8.492875418,0.238077055
Occidental Petroleum (OXY),OXY,4/18/2016,Lightning Round ,Buy Recommendations ,73.3,4/19/2016,74.86000061,2.128240942,4/25/2016,75.09999847,2.455659583,5/16/2016,76.52999878,4.406546766,7/13/2016,76.83000183,4.815827873,4.925489896,0.313631657
Myriad Genetics (MYGN),MYGN,4/18/2016,Mail Bag ,Sell Recommendations ,38.77,4/19/2016,36,-7.14469951,4/25/2016,37.04999924,-4.43642188,5/16/2016,35.09000015,-9.491874768,7/13/2016,31.13999939,-19.68016665,531.8958409,0.651342257
3M (MMM),MMM,4/18/2016,Discussed Stock,Positive Mention ,169.55,4/19/2016,169.6499939,0.058976052,4/25/2016,168.3800049,-0.690059049,5/16/2016,169.5500031,1.80E-06,7/13/2016,179.2100067,5.697438345,2.064659196,0.229853393
McDonald's (MCD),MCD,4/18/2016,Discussed Stock,Positive Mention ,128.85,4/19/2016,128.8600006,0.007761436,4/25/2016,127.4599991,-1.078774478,5/16/2016,129.6399994,0.613115553,7/13/2016,122.8199997,-4.67986054,-4.240635023,0.246446464
Coca-Cola (KO),KO,4/18/2016,Discussed Stock,Positive Mention ,46.22,4/19/2016,46.59999847,0.82215161,4/25/2016,44.70999908,-3.26698597,5/16/2016,45.61999893,-1.298141645,7/13/2016,45.74000168,-1.038507835,28.28026071,0.228181771
Ionis Pharmaceuticals (IONS),IONS,4/18/2016,Lightning Round ,Negative Mention ,43.32,4/19/2016,42.50999832,-1.869809969,4/25/2016,43.08000183,-0.554012394,5/16/2016,32.63000107,-24.67682117,7/13/2016,24.68000031,-43.02862349,-59.04320284,0.69002056
IBM (IBM),IBM,4/18/2016,Discussed Stock,Negative Mention ,152.53,4/19/2016,144,-5.59234249,4/25/2016,148.8099976,-2.438866086,5/16/2016,149.4600067,-2.012714408,7/13/2016,158.0200043,3.599294744,260.8750384,0.280208893
